Date,Revenue,Expenses,Profit,Marketing_Cost,Salary_Cost,Operational_Cost,Tax,Net_Profit,Validation_Status
2024-01-01,11203629.64,7024538.22,4179091.42,1984132.32,3596073.72,1444332.18,1044772.85,3134318.57,Valid
2024-02-01,11307815.32,8328871.59,2978943.73,1993547.4,3978396.12,2356928.07,744735.93,2234207.8,Valid
2024-03-01,13942290.08,9941677.2,4000612.88,2183273.39,4836986.24,2921417.57,1000153.22,3000459.66,Valid
2024-04-01,13874527.99,9537820.5,4336707.49,2316955.81,4865668.97,2355195.72,1084176.87,3252530.62,Valid
2024-05-01,13637297.42,8154376.77,5482920.65,1693590.47,4763352.82,1697433.48,1370730.16,4112190.49,Valid
2024-06-01,18261161.39,11007478.1,7253683.29,2656950.97,5943960.91,2406566.22,1813420.82,5440262.47,Valid
2024-07-01,14353455.17,10314872.85,4038582.32,2135656.51,5044464.61,3134751.73,1009645.58,3028936.74,Valid
2024-09-01,11741434.17,7407652.58,4333781.59,1582396.22,4018759.97,1806496.39,1083445.4,3250336.19,Valid
2024-10-01,20829953.77,14476770.45,6353183.32,2772315.52,8289453.58,3415001.35,1588295.83,4764887.49,Valid
2024-11-01,18033450.46,11072350.59,6961099.87,2136337.95,5657335.32,3278677.32,1740274.97,5220824.9,Valid
2024-12-01,20012180.09,12994822.65,7017357.44,3280195.65,7230716.61,2483910.39,1754339.36,5263018.08,Valid
2025-01-01,19114358.27,14127198.32,4987159.95,3336832.99,7405860.77,3384504.56,1246789.99,3740369.96,Valid
2025-02-01,15135450.3,9548487.71,5586962.59,1971328.79,4573315.22,3003843.7,1396740.65,4190221.94,Valid
2025-03-01,22654546.23,14179527.51,8475018.72,3512151.75,7695924.47,2971451.29,2118754.68,6356264.04,Valid
2025-04-01,17461433.76,12550098.11,4911335.65,2358522.88,6359623.8,3831951.43,1227833.91,3683501.74,Valid
2025-05-01,23942669.82,17893868.65,6048801.17,4055729.06,9193197.19,4644942.4,1512200.29,4536600.88,Valid
2025-06-01,23100198.83,15250636.14,7849562.69,3298818.1,7968228.22,3983589.82,1962390.67,5887172.02,Valid
2025-07-01,21545256.65,14174288.43,7370968.22,2933798.96,7470401.91,3770087.56,1842742.05,5528226.17,Valid
2025-08-01,18369445.76,11408329.14,6961116.62,3130610.89,5550040.93,2727677.32,1740279.16,5220837.46,Valid
2025-09-01,19532490.54,11115787.5,8416703.04,2134894.48,6146068.84,2834824.18,2104175.76,6312527.28,Valid
2025-10-01,19987829.19,12500244.9,7487584.29,2482454.15,6751571.98,3266218.77,1871896.07,5615688.22,Valid
2025-11-01,18410832.74,12247769.51,6163063.23,2408836.34,6910237.81,2928695.36,1540765.81,4622297.42,Valid
2025-12-01,26303510.93,17375333.49,8928177.44,3791676.95,9877875.89,3705780.65,2232044.36,6696133.08,Valid
