Inventory_ID,Product_ID,Warehouse,Current_Stock,Minimum_Stock,Maximum_Stock,Stock_Status,Validation_Status
INV0001,PROD0162,Mumbai DC,171,47,466,Healthy,Valid
INV0002,PROD0212,Bengaluru DC,330,46,449,Healthy,Valid
INV0003,PROD0140,Bengaluru DC,223,38,268,Healthy,Valid
INV0004,PROD0242,Mumbai DC,257,41,341,Healthy,Valid
INV0005,PROD0141,Chennai DC,259,41,274,Healthy,Valid
INV0006,PROD0105,Bengaluru DC,104,27,245,Healthy,Valid
INV0008,PROD0178,Mumbai DC,209,44,298,Healthy,Valid
INV0009,PROD0164,Mumbai DC,88,20,192,Healthy,Valid
INV0010,PROD0048,Bengaluru DC,261,22,310,Healthy,Valid
INV0011,PROD0242,Hyderabad DC,97,20,281,Healthy,Valid
INV0012,PROD0078,Chennai DC,100,49,391,Healthy,Valid
INV0014,PROD0221,Chennai DC,241,44,320,Healthy,Valid
INV0015,PROD0243,Hyderabad DC,69,20,206,Healthy,Valid
INV0016,PROD0122,Bengaluru DC,367,22,379,Healthy,Valid
INV0017,PROD0237,Hyderabad DC,188,43,279,Healthy,Valid
INV0018,PROD0009,Chennai DC,97,44,278,Healthy,Valid
INV0019,PROD0003,Chennai DC,97,47,451,Healthy,Valid
INV0020,PROD0129,Delhi DC,403,42,424,Healthy,Valid
INV0021,PROD0186,Chennai DC,128,23,247,Healthy,Valid
INV0022,PROD0219,Delhi DC,143,39,323,Healthy,Valid
INV0023,PROD0248,Mumbai DC,23,35,278,Critical,Valid
INV0024,PROD0198,Delhi DC,196,25,284,Healthy,Valid
INV0025,PROD0217,Hyderabad DC,96,45,238,Healthy,Valid
INV0026,PROD0190,Chennai DC,273,38,315,Healthy,Valid
INV0027,PROD0006,Delhi DC,200,40,315,Healthy,Valid
INV0028,PROD0112,Hyderabad DC,209,22,211,Healthy,Valid
INV0029,PROD0092,Chennai DC,141,49,453,Healthy,Valid
INV0030,PROD0031,Bengaluru DC,337,38,378,Healthy,Valid
INV0031,PROD0096,Hyderabad DC,328,22,341,Healthy,Valid
INV0032,PROD0011,Mumbai DC,53,29,389,Healthy,Valid
INV0033,PROD0096,Bengaluru DC,201,23,345,Healthy,Valid
INV0034,PROD0226,Delhi DC,180,49,441,Healthy,Valid
INV0035,PROD0049,Hyderabad DC,197,35,231,Healthy,Valid
INV0036,PROD0163,Bengaluru DC,77,24,412,Healthy,Valid
INV0037,PROD0123,Bengaluru DC,163,38,271,Healthy,Valid
INV0039,PROD0011,Hyderabad DC,232,20,362,Healthy,Valid
INV0040,PROD0101,Mumbai DC,322,43,334,Healthy,Valid
INV0041,PROD0228,Mumbai DC,272,27,328,Healthy,Valid
INV0042,PROD0154,Bengaluru DC,128,37,384,Healthy,Valid
INV0043,PROD0198,Delhi DC,261,28,276,Healthy,Valid
