Sale_ID,Date,Customer_ID,Product_ID,Branch,Quantity,Unit_Price,Discount,Cost,Revenue,Profit,Validation_Status
SALE_001,2024-01-10,CUST_001,PROD_001,Apex Delhi POS,1,45999.0,1000.0,30000.0,44999.0,14999.0,Valid
SALE_002,2024-01-12,CUST_002,PROD_002,Apex Panipat POS,2,3299.0,200.0,1500.0,6398.0,4898.0,Valid
SALE_003,2024-01-15,CUST_003,PROD_003,Apex Dark Store 1,3,2499.0,300.0,800.0,7197.0,6397.0,Valid
SALE_004,2024-01-18,CUST_004,PROD_004,Apex Delhi POS,1,1899.0,100.0,900.0,1799.0,899.0,Valid
SALE_005,2024-01-20,CUST_005,PROD_005,Apex Dark Store 2,5,399.0,50.0,150.0,1945.0,1795.0,Valid
SALE_015,2026-08-14,CUST0184,PROD0245,Apex Delhi POS,2,46793.32,6053.11,67052.58,87533.53,20480.95,Valid
SALE_016,2026-08-14,CUST0118,PROD0012,Apex Dark Store 1,3,1536.87,132.21,2785.74,4478.4,1692.66,Valid
SALE_017,2026-08-14,CUST0176,PROD0167,Apex Delhi POS,5,4400.82,491.21,14807.3,21512.89,6705.59,Valid
SALE_018,2026-08-14,CUST0274,PROD0240,Apex Delhi POS,2,12370.01,629.02,13428.7,24111.0,10682.3,Valid
SALE_019,2026-08-14,CUST0380,PROD0024,Apex Dark Store 1,3,893.77,198.46,1943.73,2482.85,539.12,Valid
SALE_020,2026-08-15,CUST0221,PROD0031,Apex Panipat POS,2,12752.16,2423.52,14419.2,23080.8,8661.6,Valid
SALE_021,2026-08-15,CUST0005,PROD0026,Apex Dark Store 1,3,68875.8,2257.58,128520.78,204369.82,75849.04,Valid
SALE_022,2026-08-15,CUST0035,PROD0172,Apex Dark Store 1,5,17139.05,7679.41,59467.1,78015.84,18548.74,Valid
SALE_023,2026-08-15,CUST0372,PROD0233,Apex Delhi POS,3,47536.17,8014.26,111137.97,134594.25,23456.28,Valid
SALE_024,2026-08-15,CUST0343,PROD0073,Apex Panipat POS,4,15093.53,2398.4,40008.0,57975.72,17967.72,Valid
SALE_025,2026-08-15,CUST0237,PROD0238,Apex Panipat POS,3,3959.57,409.45,7888.5,11469.26,3580.76,Valid
SALE_026,2026-08-15,CUST0324,PROD0002,Apex Dark Store 2,4,3780.16,55.46,8966.64,15065.18,6098.54,Valid
SALE_027,2026-08-15,CUST0198,PROD0009,Apex Delhi POS,5,58545.31,28724.4,204655.35,264002.15,59346.8,Valid
SALE_028,2026-08-15,CUST0247,PROD0021,Apex Delhi POS,5,5212.97,2397.03,16940.85,23667.82,6726.97,Valid
SALE_029,2026-08-15,CUST0050,PROD0089,Apex Dark Store 2,4,59716.79,14759.67,190396.16,224107.49,33711.33,Valid
SALE_030,2026-08-15,CUST0369,PROD0248,Apex Dark Store 1,5,154.87,27.67,480.2,746.68,266.48,Valid
SALE_031,2026-08-15,CUST0487,PROD0171,Apex Panipat POS,1,4296.17,178.16,2708.16,4118.01,1409.85,Valid
SALE_032,2026-08-15,CUST0437,PROD0195,Apex Dark Store 1,3,24871.67,0.0,48302.01,74615.01,26313.0,Valid
SALE_033,2026-08-15,CUST0089,PROD0088,Apex Delhi POS,1,840.1,41.87,514.79,798.23,283.44,Valid
SALE_034,2026-08-15,CUST0122,PROD0111,Apex Dark Store 1,1,2946.6,0.0,2253.66,2946.6,692.94,Valid
SALE_035,2026-08-16,CUST0120,PROD0211,Apex Dark Store 1,4,5354.62,2266.35,14237.12,19152.13,4915.01,Valid
SALE_036,2026-08-17,CUST0439,PROD0201,Apex Delhi POS,4,32979.71,7685.8,108784.52,124233.04,15448.52,Valid
