Product_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price,Supplier_ID,GST_Percentage,Validation_Status
PROD0001,Lenovo Non-Stick Cookware Set 5-Piece v5,Kitchen,Lenovo,1979.69,3115.85,SUPP0015,12,Valid
PROD0002,LG Leather Travel Backpack v4,Fashion,LG,2241.66,3780.16,SUPP0002,12,Valid
PROD0003,Amul Motorized Standing Desk v6,Furniture,Amul,4169.62,6522.52,SUPP0002,18,Valid
PROD0004,Lenovo Organic Green Tea 250g v4,Groceries,Lenovo,582.84,858.09,SUPP0010,12,Valid
PROD0005,LG Stainless Steel Water Bottle 1L v3,Kitchen,LG,5304.92,9110.17,SUPP0006,18,Valid
PROD0006,"OnePlus Gaming Laptop 15"" v7",Electronics,OnePlus,33222.67,43071.83,SUPP0008,12,Valid
PROD0007,Wildcraft Microwave Oven 28L v1,Home Appliances,Wildcraft,9587.77,14114.22,SUPP0013,28,Valid
PROD0008,OnePlus Pure Cow Ghee 1L v1,Groceries,OnePlus,1013.92,1232.48,SUPP0003,5,Valid
PROD0009,Prestige Robotic Vacuum Cleaner v7,Home Appliances,Prestige,40931.07,58545.31,SUPP0007,12,Valid
PROD0010,Sony Organic Basmati Rice 5kg v6,Groceries,Sony,1085.12,1935.78,SUPP0010,5,Valid
PROD0011,Samsung Organic Basmati Rice 5kg v6,Groceries,Samsung,1143.91,2049.82,SUPP0011,28,Valid
PROD0012,Puma Dark Chocolate 85% v5,Groceries,Puma,928.58,1536.87,SUPP0012,12,Valid
PROD0013,Nike Organic Green Tea 250g v9,Groceries,Nike,173.84,309.81,SUPP0010,18,Valid
PROD0014,Tata Dark Chocolate 85% v7,Groceries,Tata,438.89,577.08,SUPP0012,18,Valid
PROD0015,OnePlus Non-Slip Yoga Mat 8mm v5,Sports,OnePlus,9031.29,11121.01,SUPP0009,28,Valid
PROD0016,HP Denim Tapered Jeans v6,Fashion,HP,3492.8,6356.14,SUPP0001,12,Valid
PROD0017,Prestige L-Shaped Fabric Sofa v6,Furniture,Prestige,4832.13,6693.05,SUPP0002,18,Valid
PROD0018,Lenovo Denim Tapered Jeans v4,Fashion,Lenovo,4024.2,5583.62,SUPP0015,18,Valid
PROD0019,Nike Induction Cooktop 2000W v4,Kitchen,Nike,5798.11,7489.14,SUPP0004,12,Valid
PROD0020,Milton Smartphone 5G v9,Electronics,Milton,35334.2,46882.7,SUPP0008,5,Valid
PROD0021,LG Leather Travel Backpack v7,Fashion,LG,3388.17,5212.97,SUPP0014,28,Valid
PROD0022,Wildcraft Slim Fit Casual Shirt v2,Fashion,Wildcraft,2194.28,3249.67,SUPP0005,5,Valid
