Sale_ID,Date,Customer_ID,Product_ID,Branch,Quantity,Unit_Price,Discount,Cost,Revenue,Profit,Validation_Status,LOADED_AT
SALE_010,2026-08-13,CUST0084,PROD0026,Apex Dark Store 2,3,68875.8,17185.35,128520.78,189442.05,60921.27,Valid,2026-08-13 19:55:41
SALE_011,2026-08-13,CUST0248,PROD0075,Apex Dark Store 2,4,1963.92,563.71,5396.84,7291.97,1895.13,Valid,2026-08-13 19:55:41
SALE_006,2026-08-13,CUST0095,PROD0178,Apex Panipat POS,1,29689.6,760.34,23902.95,28929.26,5026.31,Valid,2026-08-13 19:56:03
SALE_007,2026-08-13,CUST0127,PROD0029,Apex Panipat POS,4,48890.32,1124.33,146426.92,194436.95,48010.03,Valid,2026-08-13 19:56:03
SALE_008,2026-08-13,CUST0326,PROD0088,Apex Panipat POS,1,840.1,51.82,514.79,788.28,273.49,Valid,2026-08-13 19:56:03
SALE_009,2026-08-13,CUST0390,PROD0015,Apex Dark Store 1,2,11121.01,704.18,18062.58,21537.84,3475.26,Valid,2026-08-13 19:56:03
SALE_012,2026-08-13,CUST0162,PROD0079,Apex Dark Store 1,3,6386.69,1382.51,12251.73,17777.56,5525.83,Valid,2026-08-13 19:59:46
SALE_013,2026-08-14,CUST0091,PROD0176,Apex Dark Store 1,5,36486.86,6727.61,115345.15,175706.69,60361.54,Valid,2026-08-14 14:01:47
SALE_014,2026-08-14,CUST0023,PROD0061,Apex Panipat POS,2,27126.13,215.12,38949.48,54037.14,15087.66,Valid,2026-08-14 14:02:26
SALE_015,2026-08-14,CUST0184,PROD0245,Apex Delhi POS,2,46793.32,6053.11,67052.58,87533.53,20480.95,Valid,2026-08-14 14:02:44
SALE_016,2026-08-14,CUST0118,PROD0012,Apex Dark Store 1,3,1536.87,132.21,2785.74,4478.4,1692.66,Valid,2026-08-14 14:24:52
